id,degree,race
752,0,3
753,2,1
754,0,1
755,1,1
756,3,3
757,1,2
758,0,2
760,0,1
761,0,2
762,2,1
763,1,1
764,0,3
765,1,1
766,0,1
767,2,1
768,1,1
769,3,3
770,0,1
771,1,1
772,1,1
773,1,1
774,0,1
775,1,1
777,0,1
779,0,1
780,1,1
781,1,1
782,3,1
783,1,1
784,1,1
785,1,1
786,3,1
787,1,1
788,3,1
789,1,1
790,4,1
791,3,1
792,2,1
793,1,1
794,1,1
795,3,1
796,1,1
797,0,1
798,1,1
799,0,1
800,1,1
801,1,1
802,1,1
803,4,1
804,4,1
805,1,1
806,1,1
807,0,1
808,0,1
809,4,1
810,2,3
811,3,1
812,4,1
813,4,1
814,4,1
815,1,2
816,0,2
817,0,2
818,0,3
819,0,2
820,1,1
821,3,1
822,3,1
823,0,1
824,3,1
825,3,1
826,4,1
827,3,3
828,1,1
829,1,1
830,1,2
831,1,2
832,3,1
833,1,1
834,3,1
835,2,1
836,0,1
837,0,1
838,3,3
839,1,1
840,3,1
841,4,1
842,1,2
843,1,1
844,1,1
845,1,1
846,1,3
848,3,1
849,4,1
850,3,1
852,4,1
853,4,1
854,1,1
855,1,1
856,1,1
857,4,1
858,0,1
859,4,1
860,1,1
861,4,1
862,3,1
863,4,3
864,3,1
865,1,1
866,3,3
867,0,1
868,1,3
869,3,1
870,0,1
871,1,1
872,1,1
873,1,1
874,1,1
875,1,1
876,3,1
878,4,1
879,1,1
880,1,3
881,1,1
882,1,1
883,2,1
884,2,1
885,1,1
886,3,1
887,1,1
888,1,1
889,0,1
890,1,1
891,1,1
892,1,1
893,1,1
894,1,1
895,1,1
896,0,1
897,2,1
898,1,1
899,0,1
900,3,1
901,2,1
903,1,1
905,0,2
906,1,2
907,1,2
909,1,1
910,4,1
911,1,1
912,4,1
913,1,1
914,1,1
915,1,1
916,1,1
917,1,1
918,1,2
919,1,1
920,1,2
921,1,1
922,0,2
923,1,1
924,0,1
925,1,1
926,1,1
927,0,1
929,1,1
930,3,1
931,3,1
932,4,1
933,3,1
934,1,1
935,3,3
936,1,1
937,3,1
938,3,1
939,1,1
940,1,1
941,1,1
943,1,1
944,0,1
945,1,3
946,1,2
947,1,2
948,2,2
949,1,2
950,3,1
951,4,1
953,1,1
954,1,1
955,0,2
956,0,2
957,0,2
958,0,2
959,1,2
960,1,2
961,1,1
962,4,1
963,4,1
964,3,1
965,4,1
966,1,1
967,1,1
968,1,2
969,1,2
970,0,2
971,1,2
972,1,2
973,1,1
974,1,1
975,1,1
976,4,2
977,1,2
978,2,2
979,2,2
980,0,2
981,1,1
982,1,2
983,1,1
985,4,2
986,3,2
987,3,1
988,2,1
989,1,1
990,3,1
991,3,1
993,1,2
995,4,1
996,3,1
997,4,1
998,1,1
999,2,1
"1,000",1,1
"1,001",3,1
"1,002",3,1
"1,003",3,3
"1,004",3,1
"1,005",2,1
"1,006",3,1
"1,007",3,1
"1,008",4,1
"1,009",1,1
"1,010",3,1
"1,011",3,1
"1,012",2,1
"1,013",4,1
"1,014",1,1
"1,016",1,1
"1,017",3,1
"1,018",3,1
"1,019",0,1
"1,020",0,2
"1,021",1,1
"1,022",1,1
"1,023",1,2
"1,024",1,2
"1,025",1,2
"1,026",3,1
"1,027",4,1
"1,028",1,1
"1,029",1,1
"1,030",3,1
"1,031",1,1
"1,032",0,1
"1,033",1,1
"1,035",1,1
"1,036",1,1
"1,037",1,1
"1,038",1,1
"1,039",1,1
"1,041",1,1
"1,042",1,2
"1,043",3,1
"1,044",1,1
"1,045",1,1
"1,046",2,1
"1,047",1,1
"1,048",0,1
"1,049",1,1
"1,050",1,2
"1,051",0,1
"1,052",1,1
"1,054",1,1
"1,055",3,3
"1,056",1,2
"1,057",4,1
"1,058",4,1
"1,059",4,1
"1,060",1,1
"1,061",1,1
"1,062",3,1
"1,063",4,1
"1,064",1,1
"1,065",1,1
"1,066",0,1
"1,067",3,1
"1,068",1,1
"1,069",3,1
"1,070",1,1
"1,071",1,1
"1,072",1,1
"1,073",1,3
"1,074",3,1
"1,075",3,1
"1,076",1,1
"1,077",1,1
"1,078",1,1
"1,080",4,1
"1,081",1,1
"1,082",1,1
"1,083",1,1
"1,084",1,1
"1,085",3,1
"1,086",1,1
"1,087",1,1
"1,088",1,1
"1,089",1,1
"1,091",1,1
"1,092",0,1
"1,093",0,1
"1,094",0,1
"1,095",3,1
"1,096",1,1
"1,097",0,1
"1,098",1,1
"1,099",1,1
"1,100",0,1
"1,101",1,1
"1,102",1,1
"1,103",1,1
"1,104",3,1
"1,105",2,3
"1,106",1,1
"1,107",2,1
"1,108",0,1
"1,109",1,1
"1,110",0,1
"1,111",1,1
